Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date
628658,"HILLSIDE MARKET, INC",Convenience Store,95-020,WAIHAU STREET,,MILILANI,HI,96789,,HONOLULU,0.0,0.0,1989-01-31,2004-05-08
516644,HONG FA MARKET,Unknown,115,N Hotel St,,Honolulu,HI,96817,5910,HONOLULU,0.0,0.0,1996-04-10,2004-11-25
500482,HYUN DAE SUPERMARKET,Large Grocery Store,815,KEEAUMOKU ST # J106,,HONOLULU,HI,96814,,HONOLULU,0.0,0.0,2002-03-06,2004-11-14
417946,IT'S SOY DELICIOUS,Meat/Poultry Specialty,170,N King St,,Honolulu,HI,96817,5013,HONOLULU,0.0,0.0,2002-09-17,2004-02-03
453618,JESSE'S MINI MART INC,Convenience Store,198,S Kam Hwy,,Wahiawa,HI,96786,1811,HONOLULU,0.0,0.0,1993-03-25,2004-06-15
558156,JIFFY MART #1622,Convenience Store,94-767,FARRINGTON HWY,,WAIPAHU,HI,96797,,HONOLULU,0.0,0.0,1992-12-10,2004-08-17
368735,"JUBILEE, INC.",Unknown,1039,Kekaulike St Ste 104,,Honolulu,HI,96817,5365,HONOLULU,0.0,0.0,2001-07-17,2004-05-20
425076,K K SEAFOOD INC.,Meat/Poultry Specialty,1039,Kekaulike St Ste 122,,Honolulu,HI,96817,5366,HONOLULU,0.0,0.0,1998-08-07,2004-05-03
462931,KAIMUKI PRODUCE MARKET,Fruits/Veg Specialty,3585,Waialae Ave,,Honolulu,HI,96816,2701,HONOLULU,0.0,0.0,1997-02-11,2004-04-21
357447,KALIHI SUPER STOP & DELI,Combination Grocery/Other,1247,N School St,,Honolulu,HI,96817,2014,HONOLULU,0.0,0.0,1999-12-01,2004-08-25
394068,KEOLU CONVENIENCE STORE,Convenience Store,1090,KEOLU DR,,KAILUA,HI,96734,,HONOLULU,0.0,0.0,2000-11-29,2004-07-01
308689,KILANI MARKET,Convenience Store,935,KILANI AVE,,WAHIAWA,HI,96786,,HONOLULU,0.0,0.0,1995-12-07,2004-06-30
371056,LA ESQUINA LATINA,Convenience Store,705,N King St,,Honolulu,HI,96817,4502,HONOLULU,0.0,0.0,2002-07-03,2004-07-01
671079,LA MARKET,Unknown,150,N King St Ste 101,,Honolulu,HI,96817,5905,HONOLULU,0.0,0.0,2003-11-10,2004-09-08
458642,LAO PRODUCE CORPORATION,Fruits/Veg Specialty,,PEOPLE'S OPEN MARKET,,HONOLULU,HI,96817,,HONOLULU,0.0,0.0,2003-06-04,2004-06-14
