"Record.ID","Store.Name","Store.Type","Street.Number","Street.Name","Additional.Address","City","State","Zip.Code","Zip4","County","Latitude","Longitude","Authorization.Date","End.Date"
276109,"ALII BAKERY & DRIVE INN II  ","Bakery Specialty"," ","PIKAKE ST"," ","PAHALA","HI",96777," ","HAWAII",0,0,"10/24/1995","02/28/1999"
532640,"ALII BAKERY AND DRIVE INN  ","Convenience Store","1","HAUNANI & VOLCANO RD"," ","VOLCANO","HI",96785," ","HAWAII",0,0,"04/20/1993","01/26/1997"
257877,"ALL KINE DONUTS  ","Unknown","2100","Kanoelehua Ave Ste B10"," ","Hilo","HI",96720,"6501","HAWAII",0,0,"06/24/2002","01/26/2003"
1232734,"All Kine Stuffs,llc  ","Combination Grocery/Other","355","Kalanianaole Ave"," ","Hilo","HI",96720,"4757","HAWAII",19.72522,-155.0593,"02/23/2016","11/29/2017"
523547,"ALL THINGS STORE  ","Convenience Store","1976","Kaumana Dr"," ","Hilo","HI",96720,"1440","HAWAII",19.68548,-155.1417,"05/15/1997","03/25/2006"
920177,"Aloha Aina Natural Beef  ","Meat/Poultry Specialty","95-5520","Mamalahoa Highway"," ","Naalehu","HI",96772," ","HAWAII",19.06253,-155.5789,"10/22/2009"," "
971573,"Aloha Island Mart Keauhou 1117","Convenience Store","78-6831","Alii Dr","Ste 1001","Kailua Kona","HI",96740,"4407","HAWAII",19.57141,-155.9633,"10/01/2010"," "
541894,"Aloha Island Mart Kona-Mauka 1314","Convenience Store","75-5675","Kuakini Hwy"," ","Kailua Kona","HI",96740,"1650","HAWAII",19.64094,-155.9943,"02/05/1993"," "
528752,"ALOHA VILLAGE STORE  ","Convenience Store","HWY 11","ALOHA THEATER BLDG"," ","KAINALIA","HI",96750," ","HAWAII",0,0,"07/07/1992","12/15/1994"
614178,"ANJALI  ","Food Buying Co-op","44-3365","KALANIAI ST"," ","KALOPA","HI",96727," ","HAWAII",0,0,"03/18/1994","04/02/1995"
304924,"ANUENUE NATURAL FOODS, ETC  ","Small Grocery Store","525","LOTUS BLOSSOM LANE","8","OCEAN VIEW","HI",96737," ","HAWAII",19.08678,-155.7757,"04/30/2003","02/04/2009"
385685,"ARIRANG MINI MART 1","Small Grocery Store","362","Kinoole St"," ","Hilo","HI",96720,"2919","HAWAII",19.72172,-155.0869,"07/03/2003","08/24/2011"
704165,"Armed Forces Recreation Ctr KMC  ","Convenience Store"," ","Hawaii Volcanoes National Park","Bldg 37","Hawaii National Park","HI",96718," ","HAWAII",19.42893,-155.2532,"02/22/1995"," "
625618,"ASIAN & AMERICAN SUPERMARKET  ","Supermarket","1990","KINOOLE ST"," ","HILO","HI",96720," ","HAWAII",0,0,"12/18/2000","06/14/2001"
409322,"AUNTY SHARON'S  ","Delivery Route"," ","C/O PO BOX 294"," ","HONAUNAU","HI",96726," ","HAWAII",0,0,"04/11/1996","11/08/1998"
631487,"AWILI STORE 1282","Convenience Store","1283","Kalanianaole Ave"," ","Hilo","HI",96720,"4967","HAWAII",0,0,"08/04/1977","12/10/1995"
310673,"B NATURAL HEALTH FOODS  ","Small Grocery Store","68-1845","WAIKOLOA RD"," ","WAIKOLOA","HI",96738,"4749","HAWAII",19.9268,-155.7887,"07/16/2003","04/09/2008"
1303045,"Bahay Kubo Asian Store 426","Convenience Store","74-5467","Kaiwi St","Ste 3","Kailua Kona","HI",96740,"3143","HAWAII",19.64826,-155.9996,"12/11/2017"," "
446182,"BAKER TOM'S  ","Bakery Specialty","87-B","Banyan Dr"," ","Hilo","HI",96720,"4694","HAWAII",19.72831,-155.0653,"02/25/2004","01/03/2013"
365916,"BANYAN MART  ","Convenience Store","76-6265","Alii Dr"," ","Kailua Kona","HI",96740,"2323","HAWAII",19.60664,-155.9763,"03/05/1990"," "
1216699,"Banyan Mini Mart 1","Convenience Store","71","Banyan Dr"," ","Hilo","HI",96720,"4693","HAWAII",19.72764,-155.0664,"11/02/2015","06/24/2021"
1216699,"Banyan Mini Mart 1","Convenience Store","71","Banyan Dr"," ","Hilo","HI",96720,"4693","HAWAII",19.72764,-155.0664,"07/21/2021","10/23/2021"
387263,"BAYFRONT SHELL FOODMART  ","Convenience Store","744","Kamehameha Ave"," ","Hilo","HI",96720,"3054","HAWAII",0,0,"09/24/2001","09/30/2004"
1103191,"Bayside Chevron  ","Convenience Store","774","Kamehameha Ave"," ","Hilo","HI",96720,"3057","HAWAII",19.72208,-155.0784,"08/01/2013"," "
391614,"BERNARD A KRATKY PRODUCE STALL  ","Fruits/Veg Specialty"," ","MAMO ST"," ","HILO","HI",96720," ","HAWAII",0,0,"04/25/1990","03/16/1999"
883556,"Best Western Meat of Hawaii Inc  ","Delivery Route","74-5590","Eho St","A112","Kailua-Kona","HI",96740," ","HAWAII",19.64536,-155.9973,"02/12/2009","08/14/2011"
1356220,"Big Island Beef Jerky  ","Meat/Poultry Specialty","21A","Kalanianaole Ave"," ","Hilo","HI",96720,"4742","HAWAII",19.72293,-155.0631,"05/01/2019"," "
1433209,"Big Island Farm Direct  ","Delivery Route","78-6898","Palekana Rd","","Holualoa","HI",96725,"8706","HAWAII",19.56109,-155.9359,"03/31/2021"," "
671111,"BIG ISLAND MINI MART  ","Convenience Store","355","KALANIANAOLE AVE"," ","HILO","HI",96720,"4796","HAWAII",0,0,"07/16/1993","03/19/2003"
415490,"BIG ISLAND POULTRY INC.  ","Combination Grocery/Other","NONE","HOEA ROAD"," ","HAWI","HI",96755," ","HAWAII",0,0,"10/23/1990","02/28/1999"
1069233,"Big Island Raw Foods  ","Combination Grocery/Other","92-1329","Prince Kuhio Blvd"," ","Captain Cook","HI",96704,"9205","HAWAII",19.08385,-155.7762,"09/04/2012","08/03/2013"
958647,"Bite Me Fish Market  ","Seafood Specialty","74-425","Kealakehe Pkwy","Ste 17","Kailua Kona","HI",96740,"2708","HAWAII",19.6701,-156.0206,"03/28/2011","10/10/2011"
238541,"BLACK SAND BEACH STORE  ","Convenience Store"," ","PO Box 583"," ","Pahoa","HI",96778,"0583","HAWAII",0,0,"03/02/1994","09/29/1995"
1026695,"Body Integration LLC, dba Island Organics  ","Small Grocery Store","14-1021","Kalikaa"," ","Keaau","HI",96749,"7109","HAWAII",19.58576,-154.9665,"11/03/2011","10/21/2012"
455252,"BOON YANG RICKARD  ","Fruits/Veg Specialty"," ","NULL"," ","HILO","HI",96720," ","HAWAII",0,0,"03/16/1992","11/08/1998"
955782,"Bread Box Keaau  ","Bakery Specialty","16-566","Keaau Pahoa Rd"," ","Keaau","HI",96749,"8105","HAWAII",19.6217,-155.0388,"06/28/2010","07/02/2017"
1084546,"Bread Box Keaau  ","Bakery Specialty","16-566","Keaau Pahoa Rd"," ","Keaau","HI",96749,"8105","HAWAII",19.62147,-155.0387,"01/23/2013","03/12/2014"
