County,FIPS,Population,Year,Source
HAWAII,15001,209790,2024,Hawaii State Census (DBEDT) July 1 2024 resident population estimate
HONOLULU,15003,998747,2024,Hawaii State Census (DBEDT) July 1 2024 resident population estimate
KAUAI,15007,73840,2024,Hawaii State Census (DBEDT) July 1 2024 resident population estimate
MAUI,15009,163769,2024,Hawaii State Census (DBEDT) July 1 2024 resident population estimate
